ZCTA5CE10,Theft,Burglary,Assault,Vandalism,Robbery,Total.Crime2016
89101,661,396,1146,335,176,2714
89102,409,302,336,208,81,1336
89104,684,520,574,274,212,2264
89106,630,383,788,263,167,2231
89107,438,344,281,176,116,1355
89108,624,611,406,290,130,2061
89109,1002,461,1083,192,187,2925
89110,665,421,417,267,153,1923
89117,259,290,136,104,48,837
89128,299,242,132,101,45,819
89129,280,209,108,80,36,713
89130,206,136,118,59,38,557
89131,198,84,74,42,10,408
89134,111,127,24,32,9,303
89138,48,33,7,18,3,109
89143,41,31,20,12,2,106
89144,96,62,42,25,7,232
89145,146,120,73,74,23,436
89146,258,261,154,94,56,823
89147,251,298,141,106,74,870
89149,212,165,78,66,20,541
89169,560,490,509,193,162,1914
89119,826,555,730,366,207,2684
89121,795,660,548,280,198,2481